Question Type,Question Text,Explanation,Score Points,Option 1,Option 2,Option 3,Option 4,Correct Answer/Answers,Test Cases JSON
Text,"What is the capital of France?","The capital of France is Paris, which is located in the north-central part of the country.",5,"","","","","",""
Text,"Explain the water cycle in your own words.","The water cycle is the continuous movement of water on, above, and below the surface of the Earth through evaporation, condensation, precipitation, and collection.",10,"","","","","",""
Single Choice,"What is 2 + 2?","Basic addition: 2 + 2 equals 4",1,"3","4","5","6","2",""
Single Choice,"Which planet is known as the Red Planet?","Mars is called the Red Planet due to iron oxide on its surface",2,"Venus","Mars","Jupiter","Saturn","2",""
Multiple Choice,"Select all prime numbers from the following:","Prime numbers are 2, 3, and 5. 4 is not prime as it's divisible by 2",3,"2","3","4","5","1,2,4",""
Multiple Choice,"Which of these are programming languages?","Python, Java, and C++ are all programming languages. HTML is a markup language",2,"Python","HTML","Java","C++","1,3,4",""
True/False,"The Earth is flat.","False. The Earth is an oblate spheroid (roughly spherical shape)",1,"","","","","false",""
True/False,"Water boils at 100 degrees Celsius at sea level.","True. At standard atmospheric pressure (sea level), water boils at 100°C or 212°F",1,"","","","","true",""
Coding Question,"Write a function to add two numbers","The function should take two parameters and return their sum. Example: add(2, 3) should return 5",10,"","","","","","[{""input"":""2, 3"",""expectedOutput"":""5"",""explanation"":""2 + 3 = 5""},{""input"":""10, 20"",""expectedOutput"":""30"",""explanation"":""10 + 20 = 30""}]"
Coding Question,"Write a function to check if a number is even","The function should return true if the number is even, false otherwise. A number is even if it's divisible by 2",5,"","","","","","[{""input"":""4"",""expectedOutput"":""true"",""explanation"":""4 is divisible by 2""},{""input"":""7"",""expectedOutput"":""false"",""explanation"":""7 is not divisible by 2""}]"
